sample_id,true_label,pred_label,confidence
104:27184,N,L,0.4515088200569153
104:32445,N,L,0.34288936853408813
104:32734,N,L,0.5545881986618042
104:35359,N,L,0.5092163681983948
104:37977,N,L,0.5635063052177429
104:40302,N,L,0.4515507221221924
104:43244,N,L,0.6438089609146118
104:54295,N,V,0.5516325235366821
104:58669,N,L,0.48952940106391907
104:58951,N,L,0.7423632144927979
104:65335,N,L,0.48464953899383545
104:69704,N,L,0.320454865694046
104:69994,N,L,0.49875015020370483
104:76428,N,L,0.6357459425926208
104:76700,N,L,0.6065398454666138
104:76968,N,L,0.6136639714241028
104:77257,N,L,0.7406772375106812
104:77548,N,L,0.7155038714408875
104:78425,N,L,0.5656186938285828
104:78707,N,L,0.48288822174072266
104:79260,N,L,0.6418753862380981
104:79554,N,L,0.6348602175712585
104:79845,N,L,0.48096683621406555
104:80136,N,L,0.739879846572876
104:80430,N,L,0.7768215537071228
104:80721,N,L,0.6851907968521118
104:80999,N,L,0.5287584662437439
104:81267,N,L,0.5533677935600281
104:81553,N,L,0.6998655200004578
104:81845,N,L,0.7049875259399414
104:82134,N,L,0.5540172457695007
104:92507,N,L,0.46468567848205566
104:100116,N,V,0.3879558742046356
104:101187,N,L,0.6448872089385986
104:101478,N,L,0.5865497589111328
104:102062,N,L,0.7390120625495911
104:102893,N,L,0.6785218119621277
104:103176,N,L,0.5337483882904053
104:103751,N,L,0.7244182825088501
104:105172,N,L,0.7208905816078186
104:105741,N,L,0.6554573774337769
104:106039,N,L,0.5615233778953552
104:107175,N,L,0.5526004433631897
104:129379,N,L,0.5954952836036682
104:129950,N,L,0.6902804970741272
104:130770,N,L,0.5242663621902466
104:131611,N,L,0.67388516664505
104:131901,N,L,0.6918589472770691
104:132201,N,L,0.7221940755844116
104:132487,N,L,0.5823608040809631
104:133047,N,L,0.4858909547328949
104:133334,N,L,0.7536726593971252
104:133918,N,L,0.6803074479103088
104:134218,N,L,0.7597077488899231
104:151739,N,L,0.44073477387428284
104:158700,N,L,0.49347543716430664
104:158986,N,L,0.4751119017601013
104:164223,N,L,0.5061602592468262
104:170628,N,L,0.4426829516887665
104:170911,N,L,0.7335637211799622
104:178185,N,L,0.6148759722709656
104:178462,N,L,0.5615586638450623
104:184006,N,L,0.640755295753479
104:184280,N,L,0.6898377537727356
104:190077,N,L,0.6032679080963135
104:195048,N,L,0.4889446198940277
104:195345,N,L,0.639930784702301
104:199415,N,L,0.7420633435249329
104:204078,N,L,0.39701583981513977
104:204339,N,L,0.6489505171775818
104:208997,N,L,0.3955453634262085
104:209282,N,L,0.7498940825462341
104:213664,N,L,0.6330886483192444
104:213951,N,L,0.7625952363014221
104:217442,N,L,0.6146625876426697
104:217713,N,L,0.7950162887573242
104:224744,N,L,0.48346009850502014
104:228826,N,L,0.57197105884552
104:229117,N,L,0.6692510843276978
104:233197,N,L,0.6644259691238403
104:233483,N,L,0.6432672142982483
104:244295,N,L,0.6614453196525574
104:247777,N,L,0.7079898118972778
104:251570,N,L,0.5769326090812683
104:261484,N,L,0.5549853444099426
104:271107,N,L,0.6113582849502563
104:275200,N,L,0.744897186756134
104:290119,N,L,0.6546197533607483
104:293292,N,L,0.7307144403457642
104:296521,N,L,0.6362797021865845
104:312298,N,L,0.6852964758872986
104:354993,N,L,0.6691010594367981
104:357900,N,L,0.5677049160003662
104:360810,N,L,0.6972851157188416
104:375724,N,L,0.6080984473228455
104:378378,N,L,0.514393150806427
104:381286,N,L,0.6700552105903625
104:383891,N,L,0.6778526306152344
104:401149,N,L,0.6652577519416809
104:404091,N,L,0.7037478089332581
104:421334,N,L,0.661798357963562
104:424261,N,L,0.43987518548965454
104:426872,N,L,0.42787966132164
104:443562,N,L,0.6755759716033936
104:446179,N,L,0.7071889042854309
104:451753,N,L,0.7754175066947937
104:466051,N,L,0.6935793161392212
104:468698,N,L,0.6632927656173706
104:471610,N,L,0.7290700078010559
104:474231,N,L,0.5010127425193787
104:490904,N,L,0.6676048040390015
104:493798,N,L,0.6164724230766296
104:496725,N,L,0.715919554233551
104:514573,N,L,0.6443005800247192
104:517471,N,L,0.5201154351234436
104:535288,N,L,0.6685420274734497
104:537927,N,L,0.7192378640174866
104:540554,N,L,0.7374209761619568
104:540851,N,L,0.5661224722862244
104:543458,N,L,0.5141441226005554
104:557513,N,L,0.7174621224403381
104:560153,N,L,0.7082160711288452
104:563029,N,L,0.6479477286338806
104:565951,N,L,0.7309046983718872
104:581181,N,L,0.6645205616950989
104:586986,N,L,0.6320095658302307
104:589936,N,L,0.6485700607299805
104:590218,N,L,0.5307514071464539
104:605714,N,L,0.7280842661857605
104:625303,N,L,0.6269065141677856
104:631459,N,L,0.594796895980835
104:634366,N,L,0.5491613149642944
119:433763,N,A,0.7257940769195557
119:437853,N,R,0.4140784442424774
119:553104,N,A,0.6372323036193848
119:649788,N,A,0.666194498538971
207:835,R,A,0.8860240578651428
207:1588,R,A,0.8936449885368347
207:2342,R,A,0.8474307060241699
207:3111,R,A,0.7123375535011292
207:3857,R,A,0.9047107100486755
207:4637,R,A,0.7107304930686951
207:5409,R,A,0.817997932434082
207:6160,R,A,0.775423526763916
207:6939,R,A,0.7103608250617981
207:7700,R,A,0.8695840239524841
207:8437,R,A,0.6276918649673462
207:9215,R,N,0.6292936205863953
207:9949,R,A,0.7907838821411133
207:10689,R,A,0.8654488921165466
207:11450,R,A,0.9192996621131897
207:12197,R,A,0.8169596791267395
207:12936,R,A,0.7754817605018616
207:13717,L,V,0.7493386268615723
207:14522,L,V,0.9628795385360718
207:18825,R,A,0.9195149540901184
207:19579,R,N,0.7054281830787659
207:22117,R,N,0.7843354344367981
207:22883,L,V,0.9982315301895142
207:23174,L,V,0.8849142789840698
207:23502,L,N,0.5664416551589966
207:24177,R,N,0.38696590065956116
207:24535,L,V,0.9861342906951904
207:24866,L,V,0.9191476702690125
207:25185,L,V,0.8079834580421448
207:25496,L,V,0.9344961047172546
207:26164,L,V,0.9652801156044006
207:26810,R,A,0.8016716241836548
207:27458,R,A,0.6884548664093018
207:27785,L,V,0.6998996734619141
207:28717,R,A,0.6630861759185791
207:29455,R,N,0.6747581958770752
207:29847,L,V,0.914406955242157
207:30567,R,A,0.5379078388214111
207:31261,R,A,0.6619986891746521
207:31614,L,V,0.8119097352027893
207:31944,L,V,0.7490999698638916
207:32284,L,V,0.6034992337226868
207:32637,L,V,0.8000437021255493
207:32985,L,V,0.6576426029205322
207:33339,L,V,0.6844921112060547
207:33996,R,A,0.872065544128418
207:34347,L,V,0.7303781509399414
207:34708,L,V,0.7639267444610596
207:35076,L,V,0.8483154773712158
207:35420,L,V,0.7304480075836182
207:35760,L,V,0.8708699345588684
207:36105,L,V,0.8594291806221008
207:36439,L,V,0.7774847149848938
207:36792,L,V,0.8802741169929504
207:37147,L,V,0.9036802649497986
207:37500,L,V,0.7681055068969727
207:37848,L,V,0.8840950727462769
207:38182,L,V,0.8248195648193359
207:38509,L,V,0.6641809344291687
207:38867,L,V,0.8465186357498169
207:39234,L,V,0.830086886882782
207:39575,L,V,0.8866879940032959
207:39924,L,V,0.8042929172515869
207:40264,L,V,0.8334909081459045
207:40599,L,V,0.8136634826660156
207:40951,L,V,0.7160581946372986
207:41301,L,V,0.8399376273155212
207:41654,L,V,0.900126576423645
207:42000,L,V,0.7406042218208313
207:42331,L,V,0.8201763033866882
207:42660,L,V,0.7954069972038269
207:42985,L,V,0.9092008471488953
207:43334,L,V,0.9075270295143127
207:43685,L,V,0.8695299029350281
207:44020,L,V,0.872368574142456
207:44354,L,V,0.838841438293457
207:44688,L,V,0.7807918787002563
207:45009,L,V,0.871231734752655
207:45346,L,V,0.9013543128967285
207:45687,L,V,0.8440620303153992
207:46025,L,V,0.9618956446647644
207:46680,L,V,0.9684280157089233
207:47307,R,A,0.5477213263511658
207:48019,L,V,0.9720062613487244
207:48669,R,A,0.9071236848831177
207:49331,R,N,0.41049736738204956
207:50025,R,N,0.5151650905609131
207:50724,R,A,0.5223392248153687
207:51383,R,N,0.5805274248123169
207:52089,R,N,0.4662490785121918
207:52785,R,N,0.6404117345809937
207:53471,R,N,0.5435129404067993
207:54160,R,N,0.4925577640533447
207:54868,R,N,0.5552571415901184
207:55558,R,N,0.4984586536884308
207:56266,R,A,0.5908271074295044
207:56974,R,N,0.52303546667099
207:57666,R,N,0.5184038281440735
207:58370,R,A,0.548990786075592
207:59089,R,N,0.5366284251213074
207:59785,R,N,0.5632373094558716
207:60491,R,V,0.6807883977890015
207:61217,R,A,0.6760596036911011
207:61911,R,A,0.5389448404312134
207:62601,R,N,0.5077767372131348
207:63324,R,N,0.4887336194515228
207:64032,R,A,0.5016735792160034
207:64729,R,A,0.6247115731239319
207:65457,R,A,0.6191549301147461
207:66157,R,N,0.4925346076488495
207:66859,R,N,0.4809320867061615
207:67591,R,N,0.5145139694213867
207:68300,R,A,0.5604209899902344
207:68995,R,N,0.5741150379180908
207:69733,R,A,0.5226067900657654
207:70434,R,A,0.5833017826080322
207:71131,R,A,0.5084669589996338
207:71865,R,N,0.542543351650238
207:72581,R,A,0.5452505946159363
207:73279,R,N,0.5916687846183777
207:74019,R,A,0.6490728855133057
207:74726,R,N,0.5512617230415344
207:75429,R,N,0.472134530544281
207:76172,R,N,0.5050625801086426
207:76886,R,A,0.5220293998718262
207:77584,R,A,0.630774974822998
207:78330,R,N,0.5643656849861145
207:79047,R,N,0.6439011096954346
207:79747,R,A,0.5273405313491821
207:80490,R,N,0.571625292301178
207:81212,R,A,0.7486157417297363
207:81909,R,A,0.492307186126709
207:82643,R,A,0.5157026648521423
207:83355,R,N,0.5577124953269958
207:84062,R,A,0.5838253498077393
207:84806,R,A,0.774997353553772
207:85514,R,A,0.8419036865234375
207:86215,R,A,0.4955056607723236
207:86656,R,A,0.9647298455238342
207:87039,L,V,0.9622430205345154
207:89131,R,N,0.5418838262557983
207:94437,L,V,0.9780004024505615
207:95206,L,V,0.987583577632904
207:95566,L,V,0.8233777284622192
207:95920,L,V,0.9749701619148254
207:96905,L,V,0.8803966641426086
207:101423,L,V,0.7157351970672607
207:101715,V,A,0.9801537394523621
207:102147,L,V,0.89997398853302
207:102382,V,N,0.4568173587322235
207:102782,L,A,0.6793788075447083
207:103088,L,V,0.8025428652763367
207:103386,L,V,0.7697363495826721
207:103696,L,V,0.978495180606842
207:104006,L,V,0.9994617700576782
207:104306,L,V,0.9794745445251465
207:104598,L,A,0.9988884329795837
207:104886,L,V,0.8738114237785339
207:105175,L,V,0.7910724878311157
207:105447,L,V,0.8421090245246887
207:105734,L,V,0.9702903628349304
207:106041,L,A,0.5768823027610779
207:106339,L,V,0.5564426779747009
207:106628,L,A,0.43346109986305237
207:106919,L,V,0.9128386974334717
207:107198,L,V,0.9969337582588196
207:107470,L,V,0.926048219203949
207:107747,L,V,0.568350076675415
207:108033,L,V,0.971284806728363
207:108314,L,V,0.9955490231513977
207:108581,L,V,0.9970874786376953
207:108856,L,V,0.8605481386184692
207:109118,L,A,0.5341055393218994
207:109387,L,V,0.9736643433570862
207:109654,L,V,0.9606435298919678
207:109914,L,V,0.9328776001930237
207:110187,L,V,0.9452760815620422
207:110470,L,V,0.9059306383132935
207:110747,L,V,0.8163355588912964
207:111017,L,V,0.8834702372550964
207:111284,L,V,0.8721466064453125
207:111541,L,V,0.5625972151756287
207:111805,L,V,0.935445249080658
207:112063,L,V,0.8948059678077698
207:112345,L,V,0.8312203288078308
207:112624,L,V,0.7934762835502625
207:112896,L,V,0.8689101934432983
207:113159,L,A,0.5495941042900085
207:113427,L,V,0.8896945118904114
207:113695,L,V,0.9074763655662537
207:113961,L,V,0.8939900994300842
207:114216,L,V,0.8271252512931824
207:114493,L,V,0.6538902521133423
207:114772,L,V,0.9146842360496521
207:115053,L,V,0.7306820750236511
207:115325,L,V,0.8814949989318848
207:115593,L,A,0.6490180492401123
207:115852,L,V,0.7041037678718567
207:116108,L,A,0.46671250462532043
207:116372,L,A,0.9514227509498596
207:116647,L,V,0.6766721606254578
207:116923,L,V,0.7243530750274658
207:117198,L,V,0.745045006275177
207:117462,L,A,0.5218801498413086
207:117716,L,V,0.8928078413009644
207:117972,L,V,0.8082691431045532
207:118210,L,V,0.5028615593910217
207:118446,L,A,0.49939095973968506
207:118694,L,V,0.6590448021888733
207:118938,L,A,0.6321771144866943
207:119204,L,V,0.5645240545272827
207:119451,L,V,0.7026239633560181
207:119698,L,V,0.5412735939025879
207:119946,L,A,0.4030182361602783
207:120177,L,V,0.72858065366745
207:120425,L,A,0.5977821350097656
207:120675,L,V,0.6266646981239319
207:120926,L,V,0.8351753354072571
207:121202,L,V,0.661257266998291
207:121462,L,V,0.7074447870254517
207:121712,L,A,0.5895825624465942
207:121976,L,V,0.8836329579353333
207:122222,L,V,0.9309461116790771
207:122490,L,V,0.9356793761253357
207:122747,L,A,0.9866956472396851
207:123025,L,V,0.8818960189819336
207:123316,L,V,0.6989341378211975
207:123603,L,R,0.7642590999603271
207:123885,L,V,0.8192203044891357
207:124160,L,V,0.6024405360221863
207:124432,L,V,0.8592657446861267
207:124704,L,V,0.8454270958900452
207:124978,L,R,0.4179609417915344
207:125262,L,V,0.44174614548683167
207:125543,L,V,0.8824893832206726
207:125827,L,A,0.9998358488082886
207:126101,L,V,0.553693950176239
207:126374,L,N,0.432452917098999
207:126649,L,V,0.4416274130344391
207:126914,L,A,0.9987413287162781
207:127180,L,V,0.7606952786445618
207:127461,L,R,0.5660854578018188
207:127752,L,V,0.6264604330062866
207:128034,L,A,0.6993712186813354
207:128311,L,V,0.7678948640823364
207:128579,L,V,0.48357152938842773
207:128845,L,V,0.602048397064209
207:129108,L,V,0.7506545186042786
207:129382,L,V,0.9164237380027771
207:129671,L,V,0.4306991398334503
207:129957,L,V,0.5507075190544128
207:130230,L,V,0.4223287105560303
207:130504,L,R,0.519666314125061
207:130784,L,R,0.4187815487384796
207:131056,L,V,0.8294806480407715
207:131313,L,V,0.9556563496589661
207:131591,L,V,0.772138237953186
207:131878,L,V,0.7258642315864563
207:132165,L,V,0.47801879048347473
207:132448,L,V,0.8757438063621521
207:132725,L,V,0.7290338277816772
207:132992,L,V,0.6545697450637817
207:133261,L,V,0.8984036445617676
207:133533,L,V,0.9187481999397278
207:133813,L,V,0.7420305609703064
207:134102,L,V,0.6708172559738159
207:134386,L,V,0.5881680250167847
207:134664,L,V,0.9418529272079468
207:134943,L,V,0.8252812027931213
207:135219,L,V,0.7399075031280518
207:135492,L,V,0.751179575920105
207:135764,L,V,0.8075512051582336
207:136048,L,V,0.8168923854827881
207:136343,L,V,0.5751850605010986
207:136636,L,V,0.5723186135292053
207:136920,L,V,0.9113348126411438
207:137192,L,V,0.7627238035202026
207:137467,L,V,0.6627819538116455
207:137737,L,V,0.719642698764801
207:138016,L,V,0.46381333470344543
207:138313,L,A,0.6719375848770142
207:138609,L,R,0.652385950088501
207:138893,L,N,0.5128759741783142
207:139182,L,V,0.3699904680252075
207:139471,L,V,0.9049599766731262
207:139750,L,V,0.8862719535827637
207:140022,L,V,0.6580396890640259
207:140312,L,V,0.5293235778808594
207:140606,L,V,0.8505039215087891
207:140909,L,V,0.3905854821205139
207:141203,L,V,0.5315728783607483
207:141487,L,V,0.8299366235733032
207:141765,L,V,0.6725209355354309
207:142047,L,V,0.5082581639289856
207:142334,L,R,0.4097495675086975
207:142636,L,V,0.49917495250701904
207:142931,L,V,0.7669200301170349
207:143223,L,R,0.4430057406425476
207:143516,L,V,0.44814226031303406
207:143805,L,V,0.6305060982704163
207:144091,L,V,0.43082451820373535
207:144374,L,V,0.5397942662239075
207:144654,L,V,0.6314651370048523
207:144961,L,V,0.7242909669876099
207:145269,L,R,0.5012301802635193
207:145562,L,V,0.4544077217578888
207:145852,L,V,0.6953673958778381
207:146139,L,V,0.5553382039070129
207:146413,L,V,0.6477892994880676
207:146709,L,R,0.3653700053691864
207:147017,L,V,0.7329487800598145
207:147319,L,V,0.42927756905555725
207:147613,L,V,0.4275089204311371
207:147911,L,V,0.5740658640861511
207:148197,L,V,0.4818485379219055
207:148483,L,V,0.5080212950706482
207:148761,L,V,0.6992000937461853
207:149058,L,A,0.5887019038200378
