sample_id,true_index,true_label,pred_index,pred_label,confidence,correct,prob_N,prob_V,prob_A,prob_L,prob_R
104:54295,0,N,2,A,0.7873923778533936,False,0.147293359041214,0.02597440965473652,0.7873923778533936,0.002272922545671463,0.03706691786646843
104:54879,0,N,4,R,0.3999108076095581,False,0.4261091351509094,0.013190398924052715,0.14487969875335693,0.01590995490550995,0.3999108076095581
104:81553,0,N,3,L,0.7422149777412415,False,0.197462260723114,0.009490367956459522,0.018511464819312096,0.7422149777412415,0.032320909202098846
104:104339,0,N,4,R,0.43280452489852905,False,0.44291239976882935,0.007968397811055183,0.07788684219121933,0.03842782601714134,0.43280452489852905
104:233483,0,N,3,L,0.7266572713851929,False,0.19717274606227875,0.010155430063605309,0.029867835342884064,0.7266572713851929,0.03614671155810356
104:357900,0,N,3,L,0.7490472793579102,False,0.19913476705551147,0.014433507807552814,0.021628180518746376,0.7490472793579102,0.015756284818053246
107:93591,1,V,2,A,0.48203301429748535,False,0.1883358657360077,0.221777081489563,0.48203301429748535,0.08344823122024536,0.024405816569924355
107:272009,1,V,0,N,0.4964461326599121,False,0.4964461326599121,0.35522225499153137,0.1344701498746872,0.013664170168340206,0.00019730921485461295
107:296306,1,V,0,N,0.4461335241794586,False,0.4461335241794586,0.2329496145248413,0.31951484084129333,0.0006571496487595141,0.0007448750548064709
107:304505,1,V,0,N,0.43829357624053955,False,0.43829357624053955,0.4135996401309967,0.14487357437610626,0.0027696911711245775,0.0004635188961401582
107:326380,1,V,0,N,0.3857228457927704,False,0.3857228457927704,0.13389188051223755,0.4791584610939026,0.0003083112824242562,0.0009185257949866354
107:335114,1,V,0,N,0.46165502071380615,False,0.46165502071380615,0.45725691318511963,0.07222320884466171,0.008641817606985569,0.00022304183221422136
107:377875,1,V,0,N,0.373918741941452,False,0.373918741941452,0.37364882230758667,0.2463541179895401,0.0050749205984175205,0.0010034078732132912
107:618886,1,V,0,N,0.7607585787773132,False,0.7607585787773132,0.07626307010650635,0.15587878227233887,0.006744899787008762,0.00035468992427922785
107:625425,1,V,0,N,0.4060783386230469,False,0.4060783386230469,0.4521101117134094,0.09327196329832077,0.04809202998876572,0.00044754811096936464
107:636185,1,V,2,A,0.6208134889602661,False,0.1336626559495926,0.24376806616783142,0.6208134889602661,0.00021045988250989467,0.0015453040832653642
107:646161,1,V,0,N,0.362260103225708,False,0.362260103225708,0.4582662284374237,0.16576088964939117,0.013451125472784042,0.00026165202143602073
119:433474,0,N,2,A,0.6026932597160339,False,0.24976040422916412,0.13043996691703796,0.6026932597160339,0.0014841349329799414,0.015622236765921116
119:555142,1,V,0,N,0.34043172001838684,False,0.34043172001838684,0.09002605080604553,0.2313561588525772,0.2999403476715088,0.038245733827352524
207:9215,4,R,0,N,0.7261008024215698,False,0.7261008024215698,0.08486896008253098,0.05570388212800026,0.12045437097549438,0.012871979735791683
207:9949,4,R,0,N,0.5164348483085632,False,0.5164348483085632,0.011282319203019142,0.0164981447160244,0.20877894759178162,0.24700577557086945
207:13348,1,V,2,A,0.5614636540412903,False,0.24052532017230988,0.1410672962665558,0.5614636540412903,0.032558783888816833,0.024384938180446625
207:13967,1,V,0,N,0.484489768743515,False,0.484489768743515,0.3228931427001953,0.08178992569446564,0.0256196279078722,0.08520755171775818
207:14522,3,L,1,V,0.6785934567451477,False,0.16791987419128418,0.6785934567451477,0.13638906180858612,0.0053372932597994804,0.011760315857827663
207:18825,4,R,0,N,0.4851784408092499,False,0.4851784408092499,0.013406936079263687,0.018557339906692505,0.23250451683998108,0.25035279989242554
207:19579,4,R,0,N,0.8593516945838928,False,0.8593516945838928,0.04504477232694626,0.02198614738881588,0.04792596027255058,0.025691425427794456
207:22117,4,R,0,N,0.8254847526550293,False,0.8254847526550293,0.07350555062294006,0.03129273280501366,0.06350357085466385,0.006213396321982145
207:22383,1,V,2,A,0.7903947234153748,False,0.17937439680099487,0.018945863470435143,0.7903947234153748,0.0008737735915929079,0.010411213152110577
207:22513,1,V,2,A,0.47391578555107117,False,0.13832800090312958,0.3857649266719818,0.47391578555107117,0.0007903747609816492,0.0012009225320070982
207:22883,3,L,1,V,0.6432117223739624,False,0.2510903477668762,0.6432117223739624,0.08598612248897552,0.017742816358804703,0.0019689856562763453
207:23174,3,L,2,A,0.7285544872283936,False,0.15151408314704895,0.10934015363454819,0.7285544872283936,0.0003765360452234745,0.010214767418801785
207:23502,3,L,0,N,0.8445675373077393,False,0.8445675373077393,0.0560837984085083,0.06929194927215576,0.00855215359479189,0.021504562348127365
207:24535,3,L,1,V,0.6403108835220337,False,0.14938777685165405,0.6403108835220337,0.07904589921236038,0.001161230611614883,0.13009420037269592
207:24866,3,L,4,R,0.25064679980278015,False,0.22923101484775543,0.27470022439956665,0.24396704137325287,0.001454920624382794,0.25064679980278015
207:25185,3,L,0,N,0.38691648840904236,False,0.38691648840904236,0.3350188434123993,0.20775164663791656,0.0008754322770982981,0.06943760812282562
207:25496,3,L,4,R,0.1449696570634842,False,0.21460947394371033,0.42784562706947327,0.21165668964385986,0.0009185400558635592,0.1449696570634842
207:26164,3,L,4,R,0.7584907412528992,False,0.11518613249063492,0.07936393469572067,0.04529687762260437,0.0016623154515400529,0.7584907412528992
