sample_id,true_index,true_label,pred_index,pred_label,confidence,correct,prob_N,prob_V,prob_A,prob_L,prob_R
104:178185,0,N,1,V,0.42952990531921387,False,0.40385979413986206,0.42952990531921387,0.129585400223732,0.02921908348798752,0.0078058140352368355
104:184006,0,N,1,V,0.4501402974128723,False,0.39274662733078003,0.4501402974128723,0.12156860530376434,0.028599875047802925,0.006944624241441488
107:288137,1,V,0,N,0.514115035533905,False,0.514115035533905,0.11761020123958588,0.3652845323085785,0.0006420445279218256,0.00234818272292614
107:331552,1,V,0,N,0.5570154190063477,False,0.5570154190063477,0.23311877250671387,0.20403796434402466,0.0016782489838078618,0.0041495803743600845
107:335114,1,V,0,N,0.5762509107589722,False,0.5762509107589722,0.3807213604450226,0.0406021811068058,0.0018359571695327759,0.0005896039656363428
107:377875,1,V,0,N,0.4340137243270874,False,0.4340137243270874,0.42238569259643555,0.14004048705101013,0.001864768797531724,0.001695309765636921
107:389976,1,V,0,N,0.42720693349838257,False,0.42720693349838257,0.3528852164745331,0.21503868699073792,0.0012755051720887423,0.0035936632193624973
107:618886,1,V,0,N,0.4832320213317871,False,0.4832320213317871,0.3637474477291107,0.149432972073555,0.001543272752314806,0.0020442751701921225
107:636185,1,V,0,N,0.37515154480934143,False,0.37515154480934143,0.33909738063812256,0.27364298701286316,0.0018700348446145654,0.01023808866739273
107:646161,1,V,2,A,0.3806837499141693,False,0.3643774092197418,0.23053012788295746,0.3806837499141693,0.0036239433102309704,0.020784776657819748
119:23381,0,N,2,A,0.45427206158638,False,0.49481117725372314,0.023994898423552513,0.45427206158638,0.004488259553909302,0.022433597594499588
119:151547,0,N,2,A,0.4699746072292328,False,0.5054559707641602,0.011298238299787045,0.4699746072292328,0.001376120955683291,0.011895042844116688
119:401675,0,N,2,A,0.5034839510917664,False,0.4530639052391052,0.020362799987196922,0.5034839510917664,0.002774468855932355,0.02031489834189415
119:401966,0,N,2,A,0.48360463976860046,False,0.4852704703807831,0.016109488904476166,0.48360463976860046,0.0017928075976669788,0.013222596608102322
119:411407,0,N,2,A,0.4991695284843445,False,0.44867953658103943,0.022071942687034607,0.4991695284843445,0.003484492190182209,0.02659449726343155
119:414558,0,N,2,A,0.49168384075164795,False,0.45260852575302124,0.024435171857476234,0.49168384075164795,0.003880273550748825,0.027392186224460602
119:414851,0,N,2,A,0.5206663012504578,False,0.450391948223114,0.012214570306241512,0.5206663012504578,0.0016648247838020325,0.015062362886965275
119:418404,0,N,2,A,0.5195971727371216,False,0.4561108648777008,0.012931803241372108,0.5195971727371216,0.0012555266730487347,0.010104651562869549
119:418685,0,N,2,A,0.48298612236976624,False,0.4718732535839081,0.023770106956362724,0.48298612236976624,0.0032761895563453436,0.018094344064593315
119:418976,0,N,2,A,0.49698832631111145,False,0.4706569015979767,0.01330772414803505,0.49698832631111145,0.0019340543076395988,0.01711301878094673
119:420564,0,N,2,A,0.47585684061050415,False,0.47606581449508667,0.021425936371088028,0.47585684061050415,0.003921089228242636,0.022730298340320587
119:428339,0,N,2,A,0.5069868564605713,False,0.448523610830307,0.019146239385008812,0.5069868564605713,0.0029171130154281855,0.022426169365644455
119:428626,0,N,2,A,0.5265341401100159,False,0.4432176947593689,0.01328967697918415,0.5265341401100159,0.0017600406426936388,0.01519845426082611
119:430761,0,N,2,A,0.4953814446926117,False,0.47551798820495605,0.011029781773686409,0.4953814446926117,0.0017664168262854218,0.016304392367601395
119:431976,0,N,2,A,0.4632215201854706,False,0.4847099483013153,0.025393255054950714,0.4632215201854706,0.004481167532503605,0.02219410613179207
119:434890,0,N,2,A,0.5029973983764648,False,0.48641741275787354,0.004571038763970137,0.5029973983764648,0.0003723731206264347,0.005641774274408817
119:484185,0,N,2,A,0.4707004725933075,False,0.4780762195587158,0.02411348931491375,0.4707004725933075,0.00401357002556324,0.023096250370144844
119:484752,0,N,2,A,0.52951979637146,False,0.4304957389831543,0.018112368881702423,0.52951979637146,0.002356891753152013,0.01951521448791027
119:485643,0,N,2,A,0.48894718289375305,False,0.4655829668045044,0.021741515025496483,0.48894718289375305,0.0031241667456924915,0.020604150369763374
119:486601,0,N,2,A,0.489100843667984,False,0.4536816477775574,0.021308185532689095,0.489100843667984,0.004341918509453535,0.03156740218400955
119:494848,0,N,2,A,0.45085588097572327,False,0.4967443346977234,0.023468390107154846,0.45085588097572327,0.004655367694795132,0.02427602745592594
119:495815,0,N,2,A,0.4797736406326294,False,0.4886138439178467,0.013709193095564842,0.4797736406326294,0.002320788102224469,0.015582532621920109
119:501348,0,N,2,A,0.4779941439628601,False,0.49780553579330444,0.010119359940290451,0.4779941439628601,0.0014619099674746394,0.012619026005268097
119:525047,0,N,2,A,0.48335501551628113,False,0.4795204699039459,0.015321191400289536,0.48335501551628113,0.0027764220722019672,0.019026901572942734
119:534185,0,N,2,A,0.46590033173561096,False,0.48574304580688477,0.021364709362387657,0.46590033173561096,0.004002625122666359,0.022989289835095406
119:539849,0,N,2,A,0.46291384100914,False,0.48419323563575745,0.02256193943321705,0.46291384100914,0.0042379372753202915,0.026093054562807083
119:540157,0,N,2,A,0.4614635109901428,False,0.4900340735912323,0.021493522450327873,0.4614635109901428,0.0037783863954246044,0.023230532184243202
119:554423,0,N,2,A,0.45849958062171936,False,0.5123999118804932,0.015828602015972137,0.45849958062171936,0.001456520869396627,0.011815391480922699
119:554683,0,N,2,A,0.4554359018802643,False,0.5277239680290222,0.010022454895079136,0.4554359018802643,0.0008897696970961988,0.0059279268607497215
119:555762,0,N,2,A,0.4811156392097473,False,0.4984447956085205,0.01059651467949152,0.4811156392097473,0.001090213074348867,0.008752834983170033
119:557435,0,N,2,A,0.49684807658195496,False,0.47938182950019836,0.013508003205060959,0.49684807658195496,0.001347144483588636,0.008914939127862453
119:558897,0,N,2,A,0.5109857320785522,False,0.4468879699707031,0.020240411162376404,0.5109857320785522,0.002652469789609313,0.01923339255154133
119:559204,0,N,2,A,0.49189552664756775,False,0.4690297544002533,0.019098609685897827,0.49189552664756775,0.002796105807647109,0.01718001253902912
119:562171,0,N,2,A,0.5080385804176331,False,0.4576603174209595,0.014182277023792267,0.5080385804176331,0.002248362172394991,0.017870470881462097
119:572143,0,N,2,A,0.4818722605705261,False,0.4689404368400574,0.022371284663677216,0.4818722605705261,0.0036016006488353014,0.023214416578412056
