sample_id,true_index,true_label,pred_index,pred_label,confidence,correct,prob_N,prob_V,prob_A,prob_L,prob_R
104:27184,0,N,1,V,0.2090577930212021,False,0.1974262297153473,0.2090577930212021,0.19331242144107819,0.20102958381175995,0.19917398691177368
104:32445,0,N,1,V,0.20637904107570648,False,0.19934500753879547,0.20637904107570648,0.19339995086193085,0.20252758264541626,0.19834840297698975
104:35359,0,N,1,V,0.20742914080619812,False,0.19887611269950867,0.20742914080619812,0.1930086761713028,0.20210641622543335,0.19857966899871826
104:37977,0,N,1,V,0.20491142570972443,False,0.20054568350315094,0.20491142570972443,0.1931692659854889,0.20332680642604828,0.19804683327674866
104:40302,0,N,1,V,0.20772679150104523,False,0.19835419952869415,0.20772679150104523,0.19319066405296326,0.20178380608558655,0.19894452393054962
104:49934,0,N,1,V,0.20619849860668182,False,0.20122826099395752,0.20619849860668182,0.19138674437999725,0.20354953408241272,0.19763696193695068
104:54295,0,N,1,V,0.21259108185768127,False,0.19468888640403748,0.21259108185768127,0.1943301409482956,0.1986909657716751,0.19969891011714935
104:58669,0,N,3,L,0.2039504200220108,False,0.20148354768753052,0.20384690165519714,0.19330984354019165,0.2039504200220108,0.19740930199623108
104:62126,0,N,3,L,0.20492538809776306,False,0.20378652215003967,0.20363694429397583,0.19077694416046143,0.20492538809776306,0.19687418639659882
104:65057,0,N,1,V,0.2069409340620041,False,0.19883577525615692,0.2069409340620041,0.1941714733839035,0.20220699906349182,0.19784480333328247
104:69704,0,N,1,V,0.20531031489372253,False,0.19985395669937134,0.20531031489372253,0.1941576600074768,0.20298495888710022,0.1976931095123291
104:92507,0,N,3,L,0.20678797364234924,False,0.20666614174842834,0.1999492645263672,0.1908518373966217,0.20678797364234924,0.19574478268623352
104:100116,0,N,1,V,0.2065766155719757,False,0.1991453468799591,0.2065766155719757,0.19384656846523285,0.20236921310424805,0.1980622559785843
104:100349,0,N,3,L,0.20527978241443634,False,0.20384129881858826,0.20283721387386322,0.19104056060314178,0.20527978241443634,0.1970011293888092
104:101187,0,N,3,L,0.20658603310585022,False,0.20619571208953857,0.19949011504650116,0.1908779740333557,0.20658603310585022,0.19685016572475433
104:102062,0,N,3,L,0.2067934274673462,False,0.2064681202173233,0.19889762997627258,0.1910630762577057,0.2067934274673462,0.19677776098251343
104:103751,0,N,3,L,0.2068723440170288,False,0.2065807431936264,0.198977530002594,0.19108626246452332,0.2068723440170288,0.19648312032222748
104:104612,0,N,3,L,0.20595571398735046,False,0.20501412451267242,0.2001952826976776,0.1915014684200287,0.20595571398735046,0.19733339548110962
104:104881,0,N,3,L,0.20617450773715973,False,0.20542819797992706,0.20041026175022125,0.19124449789524078,0.20617450773715973,0.19674254953861237
104:105172,0,N,3,L,0.2067190706729889,False,0.20619580149650574,0.19902673363685608,0.19134961068630219,0.2067190706729889,0.1967087835073471
104:108057,0,N,1,V,0.2047044038772583,False,0.20218996703624725,0.2047044038772583,0.19118177890777588,0.20414645969867706,0.1977773904800415
104:151739,0,N,1,V,0.2057504653930664,False,0.19988013803958893,0.2057504653930664,0.19349995255470276,0.20294389128684998,0.19792553782463074
104:158700,0,N,1,V,0.2058054357767105,False,0.20009343326091766,0.2058054357767105,0.19322876632213593,0.20294323563575745,0.19792912900447845
104:170628,0,N,1,V,0.2073354721069336,False,0.1987684667110443,0.2073354721069336,0.1935155689716339,0.2021103799343109,0.19827011227607727
104:178185,0,N,1,V,0.20662455260753632,False,0.1991850733757019,0.20662455260753632,0.19336292147636414,0.2024005800485611,0.19842687249183655
104:184006,0,N,1,V,0.20649650692939758,False,0.19914141297340393,0.20649650692939758,0.19348347187042236,0.2024494856595993,0.19842912256717682
104:190077,0,N,3,L,0.20677225291728973,False,0.20647460222244263,0.19999940693378448,0.19083259999752045,0.20677225291728973,0.1959211379289627
104:195048,0,N,1,V,0.20525096356868744,False,0.2004329115152359,0.20525096356868744,0.19334016740322113,0.20323523879051208,0.19774071872234344
104:199415,0,N,1,V,0.20423592627048492,False,0.20150808990001678,0.20423592627048492,0.19273827970027924,0.2038533091545105,0.19766439497470856
104:204078,0,N,1,V,0.2046506106853485,False,0.20087659358978271,0.2046506106853485,0.19336707890033722,0.20349006354808807,0.19761565327644348
