sample_id,true_index,true_label,pred_index,pred_label,confidence,correct,prob_N,prob_V,prob_A,prob_L,prob_R
104:82323,1,V,0,N,0.36455342173576355,False,0.36455342173576355,0.13916949927806854,0.07345708459615707,0.3364386260509491,0.08638133853673935
104:333358,1,V,0,N,0.5194466710090637,False,0.5194466710090637,0.07319162786006927,0.041446253657341,0.3017134666442871,0.0642019659280777
107:32111,1,V,3,L,0.476871520280838,False,0.3301788568496704,0.06952151656150818,0.03858321160078049,0.476871520280838,0.0848449096083641
107:93591,1,V,3,L,0.4774132966995239,False,0.31225064396858215,0.06974920630455017,0.04655195400118828,0.4774132966995239,0.09403491020202637
107:182095,1,V,0,N,0.4006229341030121,False,0.4006229341030121,0.08509676903486252,0.07404125481843948,0.3548205494880676,0.08541850745677948
107:213299,1,V,3,L,0.6550250053405762,False,0.1776067614555359,0.07502476125955582,0.03085889294743538,0.6550250053405762,0.06148456409573555
107:221511,1,V,3,L,0.4718509912490845,False,0.3329721689224243,0.07267347723245621,0.0443824827671051,0.4718509912490845,0.0781208723783493
107:272009,1,V,3,L,0.40892595052719116,False,0.2816174626350403,0.1544305831193924,0.08442620933055878,0.40892595052719116,0.07059978693723679
107:282674,1,V,3,L,0.5205970406532288,False,0.24287578463554382,0.06972026079893112,0.034816063940525055,0.5205970406532288,0.13199084997177124
107:288137,1,V,0,N,0.4930245280265808,False,0.4930245280265808,0.10141144692897797,0.0629052147269249,0.2611462473869324,0.08151255548000336
107:296306,1,V,3,L,0.4619978368282318,False,0.29825645685195923,0.07767033576965332,0.047618333250284195,0.4619978368282318,0.11445702612400055
107:304505,1,V,3,L,0.459420382976532,False,0.3073592782020569,0.07744167745113373,0.045235369354486465,0.459420382976532,0.11054328083992004
107:317296,1,V,3,L,0.5325502157211304,False,0.23562684655189514,0.07904299348592758,0.04431163892149925,0.5325502157211304,0.10846830904483795
107:326380,1,V,3,L,0.40376684069633484,False,0.31544724106788635,0.08934315294027328,0.06213283911347389,0.40376684069633484,0.12930992245674133
107:331552,1,V,0,N,0.39736300706863403,False,0.39736300706863403,0.07776955515146255,0.04746735468506813,0.37135404348373413,0.10604602098464966
107:335114,1,V,3,L,0.5100207924842834,False,0.2775958776473999,0.07246383279561996,0.039643678814172745,0.5100207924842834,0.10027581453323364
107:350073,1,V,3,L,0.3929131031036377,False,0.3024906814098358,0.10926023125648499,0.06113819405436516,0.3929131031036377,0.13419780135154724
107:356444,1,V,3,L,0.4871424436569214,False,0.2420268952846527,0.08705875277519226,0.03572888672351837,0.4871424436569214,0.14804303646087646
107:362479,1,V,3,L,0.5307915806770325,False,0.20709414780139923,0.08876831084489822,0.05166620761156082,0.5307915806770325,0.12167972326278687
107:363275,1,V,3,L,0.6071781516075134,False,0.21956877410411835,0.06104966253042221,0.034117404371500015,0.6071781516075134,0.07808602601289749
107:367837,1,V,3,L,0.5059884786605835,False,0.19882018864154816,0.08339245617389679,0.04378553852438927,0.5059884786605835,0.1680133193731308
107:377875,1,V,0,N,0.4202353060245514,False,0.4202353060245514,0.10113468766212463,0.06548149883747101,0.31834301352500916,0.09480550140142441
107:383622,1,V,3,L,0.4779245853424072,False,0.2742142975330353,0.07953532040119171,0.05016157403588295,0.4779245853424072,0.11816424131393433
107:389976,1,V,3,L,0.44410374760627747,False,0.3189268112182617,0.07692272961139679,0.04175884649157524,0.44410374760627747,0.11828786879777908
107:398786,1,V,3,L,0.4400610625743866,False,0.28085657954216003,0.08261758089065552,0.04731881991028786,0.4400610625743866,0.1491459459066391
107:405141,1,V,3,L,0.5099698901176453,False,0.2628439664840698,0.0699993148446083,0.0312112495303154,0.5099698901176453,0.12597554922103882
107:408995,1,V,3,L,0.4416870176792145,False,0.26349619030952454,0.08066906034946442,0.06191890686750412,0.4416870176792145,0.15222881734371185
107:412002,1,V,3,L,0.42845121026039124,False,0.2823585569858551,0.0899321511387825,0.06038288399577141,0.42845121026039124,0.13887520134449005
107:416190,1,V,3,L,0.46686434745788574,False,0.2281850278377533,0.0910518690943718,0.056227199733257294,0.46686434745788574,0.15767157077789307
107:419154,1,V,3,L,0.3502991497516632,False,0.3078223764896393,0.10199711471796036,0.07375618815422058,0.3502991497516632,0.16612516343593597
107:422147,1,V,3,L,0.47632771730422974,False,0.24294888973236084,0.07565513253211975,0.04217361658811569,0.47632771730422974,0.1628946214914322
107:425721,1,V,3,L,0.4397764801979065,False,0.2541336417198181,0.08641218394041061,0.04864344373345375,0.4397764801979065,0.17103423178195953
107:431494,1,V,3,L,0.5571585297584534,False,0.22540432214736938,0.080187126994133,0.04996999353170395,0.5571585297584534,0.08728004992008209
107:434450,1,V,3,L,0.5782396793365479,False,0.23138971626758575,0.06672711670398712,0.03955281153321266,0.5782396793365479,0.08409065753221512
107:454979,1,V,3,L,0.6000493764877319,False,0.2441360503435135,0.060660526156425476,0.027295006439089775,0.6000493764877319,0.06785903126001358
107:497789,1,V,3,L,0.4291119873523712,False,0.22623711824417114,0.09843116253614426,0.06705222278833389,0.4291119873523712,0.1791674941778183
107:503237,1,V,3,L,0.38585972785949707,False,0.2882598042488098,0.1093677431344986,0.06420591473579407,0.38585972785949707,0.15230679512023926
107:506239,1,V,3,L,0.4026857614517212,False,0.2942166030406952,0.10842204093933105,0.054884377866983414,0.4026857614517212,0.13979120552539825
107:509219,1,V,3,L,0.5122466683387756,False,0.17284509539604187,0.1059260293841362,0.05432087182998657,0.5122466683387756,0.1546613574028015
107:511008,1,V,3,L,0.40096792578697205,False,0.3281700611114502,0.09076936542987823,0.06082221120595932,0.40096792578697205,0.1192704439163208
107:511843,1,V,3,L,0.5201286673545837,False,0.24637478590011597,0.06722698360681534,0.02995249256491661,0.5201286673545837,0.13631705939769745
107:512974,1,V,3,L,0.5529239773750305,False,0.21286875009536743,0.07960408180952072,0.04481770098209381,0.5529239773750305,0.10978548228740692
107:514098,1,V,3,L,0.33891600370407104,False,0.31737881898880005,0.12353893369436264,0.0914812907576561,0.33891600370407104,0.12868495285511017
107:514634,1,V,3,L,0.3944210708141327,False,0.2984215021133423,0.10378172248601913,0.05868750438094139,0.3944210708141327,0.144688218832016
107:540882,1,V,3,L,0.5059753060340881,False,0.19180507957935333,0.10930304229259491,0.0615251362323761,0.5059753060340881,0.13139145076274872
107:542975,1,V,3,L,0.6736843585968018,False,0.14023247361183167,0.08135709166526794,0.034131068736314774,0.6736843585968018,0.07059498876333237
107:554239,1,V,3,L,0.5565425157546997,False,0.187143936753273,0.09021931886672974,0.047037046402692795,0.5565425157546997,0.11905717849731445
107:558459,1,V,3,L,0.5173850059509277,False,0.24829480051994324,0.08255589753389359,0.035135816782712936,0.5173850059509277,0.11662845313549042
107:560520,1,V,3,L,0.646248459815979,False,0.15623839199543,0.08045739680528641,0.03534671291708946,0.646248459815979,0.08170905709266663
107:567185,1,V,3,L,0.5183451175689697,False,0.21647994220256805,0.07990299165248871,0.04976079612970352,0.5183451175689697,0.13551115989685059
107:568917,1,V,3,L,0.5309640765190125,False,0.2140222042798996,0.07681746780872345,0.04262145981192589,0.5309640765190125,0.1355748027563095
107:570650,1,V,3,L,0.5567494034767151,False,0.21581993997097015,0.08197379857301712,0.03531171381473541,0.5567494034767151,0.11014515906572342
107:572410,1,V,3,L,0.5248333215713501,False,0.2509247958660126,0.07573868334293365,0.037047941237688065,0.5248333215713501,0.11145526170730591
107:618886,1,V,3,L,0.4896084666252136,False,0.28776299953460693,0.09346217662096024,0.041130077093839645,0.4896084666252136,0.08803629875183105
107:623062,1,V,3,L,0.5591018199920654,False,0.22457362711429596,0.06953919678926468,0.03604068234562874,0.5591018199920654,0.1107446625828743
